source,target,relation,method,confidence,doc_id
COBS 1.1.1A,COBS 1.1.1AE,CITES,rule,0.97,COBS_0002
COBS 1.1.1A,COBS 4.6,CITES,rule,0.97,COBS_0002
COBS 1.1.1A,COBS 4.7,CITES,rule,0.97,COBS_0002
COBS 1.1.1A,COBS 4.10,CITES,rule,0.97,COBS_0002
COBS 1.1.1AA,COBS 6.2B,CITES,rule,0.97,COBS_0003
COBS 1.1.1AA,COBS 1.1.1AR,CITES,rule,0.97,COBS_0003
COBS 1.1.1AE,COBS 1.1.1AR,CITES,rule,0.97,COBS_0004
COBS 1.1.1AE,COBS 6.1ZA,CITES,rule,0.97,COBS_0004
COBS 1.1.1AE,COBS 6.2B,CITES,rule,0.97,COBS_0004
COBS 1.1.1AE,COBS 11.2A.34R,CITES,rule,0.97,COBS_0004
COBS 1.1.1AE,COBS 11.3,CITES,rule,0.97,COBS_0004
COBS 1.1.1AE,COBS 11.4,CITES,rule,0.97,COBS_0004
COBS 1.1.1AE,COBS 11.5A,CITES,rule,0.97,COBS_0004
COBS 1.1.1AE,COBS 11A.1,CITES,rule,0.97,COBS_0004
COBS 1.1.1AE,COBS 12.2,CITES,rule,0.97,COBS_0004
COBS 1.1.1AE,COBS 14.3A,CITES,rule,0.97,COBS_0004
COBS 1.1.1AF,COBS 1.1.1AE,CITES,rule,0.97,COBS_0005
COBS 1.1.1B,COBS 4.4.3,CITES,rule,0.97,COBS_0006
COBS 1.1.1B,COBS 15.2,CITES,rule,0.97,COBS_0006
COBS 1.1.1B,COBS 15.3,CITES,rule,0.97,COBS_0006
COBS 1.1.1B,COBS 15.4,CITES,rule,0.97,COBS_0006
COBS 1.1.7,COBS 1.4,CITES,rule,0.97,COBS_0016
COBS 1.4.2,COBS 6.1ZA,CITES,rule,0.97,COBS_0018
COBS 1.4.2,COBS 1.1.2R,CITES,rule,0.97,COBS_0018
COBS 1.4.2,COBS 2.1.1AR,CITES,rule,0.97,COBS_0018
